delivery_id,order_id,courier,dispatch_date,expected_delivery_date,delivery_date,delivery_status
9134,180,GlobalPost,2023-05-19,2023-05-24,2023-05-23,Delivered
9135,182,MetroDelivery,2023-01-13,2023-01-18,,Failed
9136,184,QuickCourier,2023-12-21,2023-12-25,2023-12-25,Delivered
9137,185,GlobalPost,2023-10-22,2023-10-27,,Failed
9138,186,FastShip Logistics,2023-12-03,2023-12-08,2023-12-08,Delivered
9139,187,MetroDelivery,2023-03-23,2023-03-30,2023-03-30,Delivered
9140,188,MetroDelivery,2023-03-03,2023-03-06,2023-03-06,Delivered
9141,190,MetroDelivery,2023-11-15,2023-11-19,,Failed
9142,193,MetroDelivery,2023-01-07,2023-01-10,,Failed
9143,195,GlobalPost,2023-12-20,2023-12-24,2023-12-26,Delivered
9144,196,QuickCourier,2023-09-02,2023-09-06,2023-09-06,Delivered
9145,198,FastShip Logistics,2023-04-25,2023-04-30,2023-05-06,Delayed
9146,199,MetroDelivery,2023-07-18,2023-07-21,2023-07-21,Delivered
9147,201,FastShip Logistics,2023-09-04,2023-09-09,2023-09-09,Delivered
9148,204,QuickCourier,2023-12-25,2023-12-30,2024-01-03,Delayed
9149,205,QuickCourier,2023-01-10,2023-01-15,2023-01-14,Delivered
9150,206,GlobalPost,2023-12-20,2023-12-25,2023-12-25,Delivered
9151,207,QuickCourier,2023-09-19,2023-09-24,,Failed
9152,208,GlobalPost,2023-04-30,2023-05-03,2023-05-03,Delivered
9153,209,FastShip Logistics,2023-03-08,2023-03-13,2023-03-12,Delivered
9154,210,MetroDelivery,2023-11-09,2023-11-16,2023-11-15,Delivered
9155,211,QuickCourier,2023-06-26,2023-07-01,,Failed
9156,212,GlobalPost,2023-01-10,2023-01-13,2023-01-13,Delivered
9157,213,GlobalPost,2023-10-23,2023-10-30,2023-10-30,Delivered
9158,214,MetroDelivery,2023-02-14,2023-02-21,2023-02-27,Delayed
9159,215,MetroDelivery,2023-11-12,2023-11-17,2023-11-17,Delivered
9160,216,QuickCourier,2023-11-23,2023-11-28,2023-11-28,Delivered
9161,217,QuickCourier,2023-05-28,2023-06-02,2023-06-02,Delivered
9162,220,QuickCourier,2023-09-16,2023-09-20,2023-09-22,Delivered
9163,221,MetroDelivery,2024-01-01,2024-01-06,,Failed
9164,222,MetroDelivery,2023-06-01,2023-06-05,2023-06-09,Delayed
9165,224,FastShip Logistics,2023-11-09,2023-11-16,2023-11-20,Delayed
9166,225,UrbanExpress,2023-10-30,2023-11-02,2023-11-05,Delayed
9167,227,MetroDelivery,2023-10-13,2023-10-17,,Failed
9168,229,QuickCourier,2023-07-17,2023-07-24,,Failed
9169,231,GlobalPost,2023-01-27,2023-01-31,2023-02-01,Delivered
9170,233,GlobalPost,2023-07-26,2023-07-31,2023-07-31,Delivered
9171,234,MetroDelivery,2023-10-27,2023-11-03,2023-11-05,Delivered
9172,235,MetroDelivery,2023-12-15,2023-12-22,2023-12-22,Delivered
9173,237,UrbanExpress,2023-08-04,2023-08-08,2023-08-09,Delivered
9174,238,UrbanExpress,2023-10-11,2023-10-15,2023-10-16,Delivered
9175,242,QuickCourier,2023-03-01,2023-03-05,,Failed
9176,243,FastShip Logistics,2023-01-23,2023-01-26,2023-01-28,Delivered
9177,244,UrbanExpress,2023-09-03,2023-09-08,2023-09-08,Delivered
9178,245,FastShip Logistics,2023-07-15,2023-07-18,,Failed
9179,246,FastShip Logistics,2023-11-03,2023-11-07,2023-11-15,Delayed
9180,247,GlobalPost,2023-04-26,2023-05-01,2023-05-10,Delayed
9181,248,GlobalPost,2023-06-26,2023-07-01,2023-07-02,Delivered
9182,249,UrbanExpress,2023-08-08,2023-08-13,,Failed
9183,252,FastShip Logistics,2023-11-14,2023-11-21,2023-11-24,Delayed
9184,253,QuickCourier,2023-07-09,2023-07-14,2023-07-14,Delivered
9185,255,MetroDelivery,2023-02-17,2023-02-21,,Failed
9186,257,UrbanExpress,2023-12-15,2023-12-18,2023-12-23,Delayed
9187,258,QuickCourier,2023-12-17,2023-12-22,2023-12-23,Delivered
9188,262,FastShip Logistics,2023-12-23,2023-12-30,2023-12-30,Delivered
9189,263,FastShip Logistics,2023-10-19,2023-10-24,2023-10-24,Delivered
9190,264,UrbanExpress,2023-02-03,2023-02-10,2023-02-12,Delivered
9191,265,UrbanExpress,2023-05-15,2023-05-22,2023-05-22,Delivered
9192,267,MetroDelivery,2023-12-15,2023-12-22,2023-12-27,Delayed
9193,268,GlobalPost,2023-10-06,2023-10-13,,Failed
9194,270,GlobalPost,2023-11-18,2023-11-23,2023-11-22,Delivered
9195,274,GlobalPost,2023-10-30,2023-11-02,2023-11-02,Delivered
9196,275,GlobalPost,2023-08-30,2023-09-04,,Failed
9197,276,FastShip Logistics,2023-10-31,2023-11-05,2023-11-04,Delivered
9198,277,MetroDelivery,2023-08-16,2023-08-21,2023-08-21,Delivered
9199,278,GlobalPost,2023-08-26,2023-08-29,2023-08-28,Delivered
9200,280,MetroDelivery,2023-11-13,2023-11-20,2023-11-22,Delivered
9201,281,UrbanExpress,2023-12-22,2023-12-27,,Failed
9202,282,QuickCourier,2023-02-05,2023-02-10,2023-02-09,Delivered
9203,283,GlobalPost,2023-08-01,2023-08-04,2023-08-04,Delivered
9204,284,QuickCourier,2023-05-30,2023-06-03,2023-06-03,Delivered
9205,285,MetroDelivery,2023-12-04,2023-12-09,2023-12-09,Delivered
9206,288,QuickCourier,2023-12-07,2023-12-12,,Failed
9207,289,QuickCourier,2023-12-19,2023-12-23,2023-12-23,Delivered
9208,291,GlobalPost,2023-12-19,2023-12-23,2023-12-23,Delivered
9209,292,QuickCourier,2023-12-09,2023-12-13,2023-12-15,Delivered
9210,293,GlobalPost,2023-09-06,2023-09-11,2023-09-12,Delivered
9211,294,MetroDelivery,2023-11-07,2023-11-11,2023-11-17,Delayed
9212,295,QuickCourier,2023-12-26,2023-12-31,2024-01-09,Delayed
9213,296,QuickCourier,2023-07-14,2023-07-21,,Failed
9214,297,GlobalPost,2023-11-22,2023-11-27,2023-12-06,Delayed
9215,298,MetroDelivery,2023-05-21,2023-05-28,2023-05-29,Delivered
9216,299,QuickCourier,2023-09-30,2023-10-05,2023-10-08,Delayed
9217,300,GlobalPost,2023-07-03,2023-07-08,,Failed
9218,301,UrbanExpress,2023-09-03,2023-09-08,,Failed
9219,304,QuickCourier,2023-10-17,2023-10-22,2023-10-22,Delivered
9220,305,FastShip Logistics,2023-09-01,2023-09-06,2023-09-15,Delayed
9221,306,MetroDelivery,2023-11-24,2023-11-29,,Failed
9222,307,UrbanExpress,2023-12-13,2023-12-18,2023-12-23,Delayed
9223,308,QuickCourier,2023-08-29,2023-09-05,,Failed
9224,309,UrbanExpress,2023-05-24,2023-05-29,2023-05-28,Delivered
9225,310,FastShip Logistics,2023-09-04,2023-09-11,2023-09-17,Delayed
9226,311,FastShip Logistics,2023-03-10,2023-03-13,2023-03-20,Delayed
9227,312,QuickCourier,2023-10-30,2023-11-04,,Failed
9228,313,QuickCourier,2023-11-09,2023-11-12,2023-11-13,Delivered
9229,314,UrbanExpress,2023-09-09,2023-09-13,2023-09-14,Delivered
9230,315,UrbanExpress,2023-04-19,2023-04-22,2023-04-30,Delayed
9231,316,UrbanExpress,2023-02-03,2023-02-10,2023-02-11,Delivered
9232,317,QuickCourier,2023-12-03,2023-12-08,2023-12-09,Delivered
9233,318,GlobalPost,2023-10-01,2023-10-04,2023-10-04,Delivered
9234,319,FastShip Logistics,2023-11-19,2023-11-22,2023-11-22,Delivered
9235,320,UrbanExpress,2023-01-09,2023-01-14,2023-01-14,Delivered
9236,322,GlobalPost,2023-02-15,2023-02-18,,Failed
9237,323,GlobalPost,2023-03-13,2023-03-17,2023-03-17,Delivered
9238,325,QuickCourier,2023-08-21,2023-08-24,2023-08-24,Delivered
9239,326,QuickCourier,2023-10-24,2023-10-29,2023-10-29,Delivered
9240,327,UrbanExpress,2023-06-07,2023-06-12,,Failed
9241,328,GlobalPost,2023-05-30,2023-06-04,2023-06-04,Delivered
9242,329,UrbanExpress,2023-11-06,2023-11-10,2023-11-09,Delivered
9243,331,FastShip Logistics,2023-07-03,2023-07-08,2023-07-08,Delivered
9244,332,GlobalPost,2023-05-09,2023-05-16,2023-05-16,Delivered
9245,333,GlobalPost,2023-12-31,2024-01-04,2024-01-04,Delivered
9246,334,GlobalPost,2023-04-16,2023-04-21,2023-04-22,Delivered
9247,335,MetroDelivery,2023-10-07,2023-10-10,2023-10-12,Delivered
9248,336,MetroDelivery,2023-12-11,2023-12-14,2023-12-14,Delivered
9249,337,QuickCourier,2023-10-13,2023-10-18,2023-10-18,Delivered
9250,339,UrbanExpress,2023-02-01,2023-02-04,,Failed
9251,340,QuickCourier,2023-10-27,2023-10-31,2023-10-30,Delivered
9252,341,UrbanExpress,2023-12-13,2023-12-18,2023-12-18,Delivered
9253,342,MetroDelivery,2023-01-06,2023-01-11,2023-01-10,Delivered
9254,343,UrbanExpress,2023-12-11,2023-12-16,2023-12-18,Delivered
9255,345,MetroDelivery,2023-11-01,2023-11-06,,Failed
9256,346,UrbanExpress,2023-09-15,2023-09-18,2023-09-26,Delayed
9257,347,FastShip Logistics,2023-06-15,2023-06-22,,Failed
9258,348,QuickCourier,2023-07-10,2023-07-13,2023-07-14,Delivered
9259,349,GlobalPost,2023-09-30,2023-10-05,2023-10-09,Delayed
9260,350,FastShip Logistics,2023-07-22,2023-07-29,2023-07-29,Delivered
9261,351,UrbanExpress,2023-01-18,2023-01-21,2023-01-20,Delivered
9262,355,MetroDelivery,2023-11-17,2023-11-21,2023-11-21,Delivered
9263,358,MetroDelivery,2023-03-06,2023-03-13,2023-03-12,Delivered
9264,359,GlobalPost,2023-09-29,2023-10-02,,Failed
9265,360,UrbanExpress,2023-05-04,2023-05-09,2023-05-09,Delivered
9266,362,MetroDelivery,2023-10-02,2023-10-06,2023-10-08,Delivered
9267,363,GlobalPost,2023-08-24,2023-08-29,2023-09-01,Delayed
9268,364,FastShip Logistics,2023-09-01,2023-09-04,2023-09-05,Delivered
9269,365,MetroDelivery,2023-12-31,2024-01-04,,Failed
9270,370,GlobalPost,2023-12-22,2023-12-26,2023-12-26,Delivered
9271,374,GlobalPost,2023-04-27,2023-05-02,2023-05-02,Delivered
9272,375,MetroDelivery,2023-10-30,2023-11-02,,Failed
9273,376,FastShip Logistics,2023-02-24,2023-03-01,2023-03-02,Delivered
9274,377,MetroDelivery,2023-12-25,2023-12-30,2023-12-30,Delivered
9275,378,FastShip Logistics,2023-12-28,2024-01-01,,Failed
9276,379,FastShip Logistics,2023-01-06,2023-01-11,2023-01-14,Delayed
9277,380,QuickCourier,2023-10-14,2023-10-18,2023-10-18,Delivered
9278,383,QuickCourier,2023-12-16,2023-12-21,2023-12-21,Delivered
9279,384,MetroDelivery,2023-08-05,2023-08-12,2023-08-20,Delayed
9280,385,FastShip Logistics,2023-07-13,2023-07-17,,Failed
9281,386,GlobalPost,2023-05-21,2023-05-25,2023-05-24,Delivered
9282,387,GlobalPost,2023-06-20,2023-06-23,2023-06-24,Delivered
9283,390,GlobalPost,2023-12-28,2024-01-01,2024-01-07,Delayed
9284,391,FastShip Logistics,2023-02-13,2023-02-18,2023-02-17,Delivered
9285,392,QuickCourier,2023-08-21,2023-08-26,2023-08-30,Delayed
9286,393,FastShip Logistics,2023-11-12,2023-11-17,2023-11-16,Delivered
9287,394,GlobalPost,2023-12-31,2024-01-07,,Failed
9288,396,UrbanExpress,2023-12-17,2023-12-22,2023-12-21,Delivered
9289,398,FastShip Logistics,2023-11-29,2023-12-03,2023-12-02,Delivered
9290,400,FastShip Logistics,2023-10-27,2023-10-31,2023-10-31,Delivered
